batch_size,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref
1024,16,RONPO-stochastic,0.24395646967721543,0.048768745543189856,0.5187295076870725,0.2330869964413384,1.897254800907141,0.1821867407726947
2048,16,RONPO-stochastic,0.2555731793893702,0.0371520358310351,0.5228163817253831,0.26456807901942087,1.7879795211698892,0.29146202050994663
4096,16,RONPO-stochastic,0.252232120443385,0.04049309477702029,0.5206046701348468,0.25100846759842,1.8326553488542667,0.24678619282556902
exact,17,RONPO-exact,0.2881835899941231,0.0401075481650805,0.5354269798668227,0.34047400051374027,1.3852522250428665,0.6941893166369694
8,17,RONPO-stochastic,0.21097596460676435,0.11731517355243923,0.5036321564814182,0.15482299339963682,1.9707342584872478,0.10870728319258818
16,17,RONPO-stochastic,0.1760558609167177,0.15223527724248587,0.5171099893697139,0.43584278861084497,1.7134468986368758,0.36599464304296003
32,17,RONPO-stochastic,0.22978246375846811,0.09850867440073546,0.5182125763613462,0.19865691601796284,1.9392921064269284,0.1401494352529073
64,17,RONPO-stochastic,0.2489870582922741,0.07930407986692947,0.5148941975065381,0.18983786357962998,1.9178684352232314,0.16157310645660444
128,17,RONPO-stochastic,0.22496648531593058,0.103324652843273,0.5118224415744456,0.24336268308154035,1.9140009873502017,0.165440554329634
256,17,RONPO-stochastic,0.24951228460942926,0.07877885354977432,0.5149813459471125,0.2252199968760943,1.8918991267136667,0.18754241496616894
512,17,RONPO-stochastic,0.24734738493066805,0.08094375322853553,0.5230702741576514,0.26513563137347196,1.8228275848995779,0.2566139567802574
1024,17,RONPO-stochastic,0.24910563635808122,0.07918550180112235,0.5222727562055782,0.25183622081200274,1.84750756869428,0.23193397298555557
2048,17,RONPO-stochastic,0.250148036909818,0.07814310124938556,0.5243039135432263,0.2474329198430778,1.8415498878562087,0.2378916538236267
4096,17,RONPO-stochastic,0.24717301290494614,0.08111812525425743,0.5222931274229078,0.2423135677455209,1.8701999222353365,0.20924161944449948
exact,18,RONPO-exact,0.28813791961474844,0.007798328438137547,0.532829903479246,0.34047759295420404,1.3862686008261411,0.6931729408536945
8,18,RONPO-stochastic,0.17926918821243334,0.11666705984045264,0.5139206385221146,0.2638832167976539,1.9269205769658373,0.1525209647139984
16,18,RONPO-stochastic,0.23069760807610645,0.06523863997677953,0.5126453456579835,0.25635711232601444,1.7719955184766127,0.3074460232032232
32,18,RONPO-stochastic,0.18117360926341042,0.11476263878947557,0.5002279408587592,0.2017819877140868,1.9395440241298258,0.13989751755000993
